Timestamp,Symbol,LTP,LTQ,Ticks_2min,Ticks_5min,LTQ_2min_avg,LTQ_5min_avg,LTQ_Spike_Ratio,ETQ_5min,ETQ_20min,ETQ_60min,BidQty,AskQty,BidAsk_Imbalance,Volume
2026-08-10 13:22:27.377303,NSE:AFSL-EQ,201.06,118,0,0,,,0.0,0,472,584,1,2,-0.3333333333333333,1541
2026-08-10 13:21:59.238874,NSE:AGARWALFT-SM,36.85,1500,0,0,,,0.0,0,3000,9000,0,1500,-1.0,0
2026-08-10 13:30:12.170122,NSE:AGARWALTUF-SM,148.0,1200,1,2,1200.0,1200.0,0.0,2400,4800,45600,2400,1200,0.3333333333333333,10800
2026-08-10 13:31:31.107868,NSE:AGIIL-EQ,301.5,9,20,38,7.0,7.473684210526316,0.9366197183098591,284,2359,26036,1066,1,0.9981255857544518,97784
2026-08-10 13:25:22.044153,NSE:AGRITECH-BE,109.2,1,0,0,,,0.0,0,4,313,62,40,0.21568627450980393,420
2026-08-10 13:21:59.157929,NSE:AGUL-SM,56.45,2000,0,0,,,0.0,0,4000,8000,2000,2000,0.0,0
2026-08-10 13:25:50.863980,NSE:AHLADA-EQ,38.5,45,0,0,,,0.0,0,284,926,160,20,0.7777777777777778,4537
2026-08-10 13:29:20.218055,NSE:AHLEAST-EQ,143.0,1,0,2,,1.0,0.0,2,606,7250,1066,13,0.9759036144578314,3948
2026-08-10 13:21:54.864371,NSE:AILIMITED-SM,35.85,1500,0,0,,,0.0,0,3000,6000,1500,0,1.0,0
2026-08-10 13:30:56.823748,NSE:AIROLAM-EQ,89.0,28,1,1,28.0,28.0,0.0,28,84,452,59,1,0.9666666666666667,563
2026-08-10 13:21:58.346278,NSE:AISL-SM,55.1,600,0,0,,,0.0,0,1200,2400,1200,600,0.3333333333333333,600
2026-08-10 13:31:29.127670,NSE:AJMERA-EQ,123.65,31,16,44,31.5,33.72727272727273,0.9339622641509434,1484,4032,11369,14,27,-0.3170731707317073,115531
2026-08-10 13:29:16.067129,NSE:AKANKSHA-ST,111.1,1000,0,1,,1000.0,0.0,1000,10000,25000,1000,1000,0.0,131000
2026-08-10 13:22:20.699783,NSE:AKIKO-ST,318.0,800,0,0,,,0.0,0,2400,16800,6400,800,0.7777777777777778,24800
2026-08-10 13:30:29.904095,NSE:AKSHARCHEM-BE,278.7,25,1,1,25.0,25.0,0.0,25,75,313,15,5,0.5,6068
2026-08-10 13:21:54.684190,NSE:ALCODIS-SM,67.6,625,0,0,,,0.0,0,1250,3125,625,625,0.0,0
2026-08-10 13:31:36.282129,NSE:ALEMBICLTD-EQ,85.6,45,42,102,39.0,37.03921568627451,1.0529380624669138,3778,5122,42339,43,116,-0.4591194968553459,134528
2026-08-10 13:29:53.607987,NSE:ALGOQUANT-EQ,67.14,1,4,33,1.0,13.06060606060606,0.0765661252900232,431,519,11201,257,202,0.11982570806100218,756422
2026-08-10 13:29:57.286345,NSE:ALKALI-BE,66.0,2,2,2,2.0,2.0,0.0,4,34,155,39,452,-0.8411405295315683,3657
2026-08-10 13:21:55.197870,NSE:ALLETEC-ST,135.75,400,0,0,,,0.0,0,800,4000,400,800,-0.3333333333333333,6800
2026-08-10 13:28:32.774164,NSE:ALLTIME-EQ,218.25,1,0,2,,1.0,0.0,2,475,1096,150,4,0.948051948051948,16590
2026-08-10 13:23:53.210508,NSE:ALPA-EQ,68.23,2,0,0,,,0.0,0,66,322,9,10,-0.05263157894736842,5021
2026-08-10 13:31:34.453934,NSE:ALPHA-EQ,53.97,445,45,110,13567.08888888889,5819.6,2.3312751544588783,640156,684467,754955,582823,21441,0.9290343293659725,542417
2026-08-10 13:30:35.446906,NSE:ALPHAGEO-EQ,247.5,90,3,15,187.66666666666666,89.26666666666667,2.1023151605675876,1339,1662,5128,1,1,0.0,32795
2026-08-10 13:31:04.647082,NSE:ALPINETEX-EQ,63.67,2,10,35,71.6,71.6,1.0,2506,9762,23268,31,36,-0.07462686567164178,213807
2026-08-10 13:21:54.978915,NSE:ALUWIND-SM,49.5,1500,0,0,,,0.0,0,3000,10500,1500,1500,0.0,3000
2026-08-10 13:21:55.518078,NSE:AMANTA-BE,162.83,50,0,0,,,0.0,0,100,1100,0,195589,-1.0,2980
2026-08-10 13:21:58.367897,NSE:AMBAAUTO-SM,108.4,1000,0,0,,,0.0,0,2000,5000,1000,1000,0.0,10000
2026-08-10 13:31:10.915198,NSE:AMBALALSA-EQ,49.4,100,7,24,71.42857142857143,72.58333333333333,0.9840905363293424,1742,2502,65773,50,202,-0.6031746031746031,580642
2026-08-10 13:21:58.065056,NSE:AMBANIORGO-SM,106.6,1000,0,0,,,0.0,0,2000,4000,1000,0,1.0,0
2026-08-10 13:31:36.327972,NSE:AMBUJACEM-EQ,431.5,37,69,174,37.30434782608695,31.103448275862068,1.1993637327677624,5412,9337,37394,6,4,0.2,1011557
2026-08-10 13:21:53.550257,NSE:AMCL-SM,395.0,800,0,0,,,0.0,0,1600,3200,400,400,0.0,2000
2026-08-10 13:31:31.514486,NSE:AMDIND-EQ,46.65,1000,3,8,1000.0,1000.0,1.0,8000,17000,17547,18,22,-0.1,5080
2026-08-10 13:21:54.300100,NSE:AMEYA-SM,109.0,1000,0,0,,,0.0,0,2000,13000,2000,0,1.0,2000
2026-08-10 13:21:57.047144,NSE:AMIABLE-SM,72.9,1600,0,0,,,0.0,0,3200,9600,1600,3200,-0.3333333333333333,0
2026-08-10 13:24:46.488474,NSE:AMJLAND-EQ,38.52,20,0,0,,,0.0,0,80,3432,2,7,-0.5555555555555556,4131
2026-08-10 13:31:01.793825,NSE:AMNPLST-EQ,199.32,1,10,10,20.2,20.2,1.0,202,229,667,1,9,-0.8,9911
2026-08-10 13:26:43.417391,NSE:ANANTAM-IV,105.5,1,0,1,,1.0,0.0,1,4,30830,750,10273,-0.863920892678944,82839
